"lon","lat","depth"
-88.1425,48.9825,-0.229205
-88.141667,48.9825,-0.229205
-88.138333,48.9825,-0.229099
-88.136667,48.9825,0.170895
-88.135833,48.9825,-0.029102
-88.084167,48.9825,-0.127887
-88.083333,48.9825,0.272107
-88.050833,48.9825,0.072903
-88.05,48.9825,-0.2271
-88.024167,48.9825,-0.226505
-88.146667,48.981667,-0.229297
-88.144167,48.981667,-0.229297
-88.083333,48.981667,-0.227802
-88.0825,48.981667,0.172192
-88.053333,48.981667,0.172894
-88.0525,48.981667,-0.2271
-88.0225,48.981667,-0.026401
-88.270833,48.980833,-0.232196
-88.269167,48.980833,-0.132098
